label,text
Building Permission,i reside at housing society it is a registered housing society and duplex row and in after being reserved for category in it was after appropriate action at cabinet the builder who built the left an unfinished boundary wall incomplete community hall and not any of the outer it as have been as one therefore there is no internal resident of number b in unauthorized encroachment and construction in the common area in between the the activity been going on for over one year now and noise pollution day and construction were living in the residential and there been unauthorized construction beyond the of his our for intervention from other society or the working committee were in as i write this letter the activity i request you to kindly look into this matter and deploy appropriate staff to take the necessary i reside at housing society it is a registered housing society and duplex row and in after being reserved for category in it was after appropriate action at cabinet the builder who built the left an unfinished boundary wall incomplete community hall and not any of the outer it as have been as one therefore there is no internal resident of number b in unauthorized encroachment and construction in the common area in between the the activity been going on for over one year now and noise pollution day and construction were living in the residential and there been unauthorized construction beyond the of his our for intervention from other society or the working committee were in as i write this letter the activity i request you to kindly look into this matter and deploy appropriate staff to take the necessary i reside at housing society it is a registered housing society and duplex row and in after being reserved for category in it was after appropriate action at cabinet the builder who built the left an unfinished boundary wall incomplete community hall and not any of the outer it as have been as one therefore there is no internal resident of number b in unauthorized encroachment and construction in the common area in between the the activity been going on for over one year now and noise pollution day and construction were living in the residential and there been unauthorized construction beyond the of his our for intervention from other society or the working committee were in as i write this letter the activity i request you to kindly look into this matter and deploy appropriate staff to take the necessary i reside at housing society it is a registered housing society and duplex row and in after being reserved for category in it was after appropriate action at cabinet the builder who built the left an unfinished boundary wall incomplete community hall and not any of the outer it as have been as one therefore there is no internal resident of number b in unauthorized encroachment and construction in the common area in between the the activity been going on for over one year now and noise pollution day and construction were living in the residential and there been unauthorized construction beyond the of his our for intervention from other society or the working committee were in as i write this letter the activity i request you to kindly look into this matter and deploy appropriate staff to take the necessary i reside at housing society it is a registered housing society and duplex row and in after being reserved for category in it was after appropriate action at cabinet the builder who built the left an unfinished boundary wall incomplete community hall and not any of the outer it as have been as one therefore there is no internal resident of number b in unauthorized encroachment and construction in the common area in between the the activity been going on for over one year now and noise pollution day and construction were living in the residential and there been unauthorized construction beyond the of his our for intervention from other society or the working committee were in as i write this letter the activity i request you to kindly look into this matter and deploy appropriate staff to take the necessary i reside at housing society it is a registered housing society and duplex row and in after being reserved for category in it was after appropriate action at cabinet the builder who built the left an unfinished boundary wall incomplete community hall and not any of the outer it as have been as one therefore there is no internal resident of number b in unauthorized encroachment and construction in the common area in between the the activity been going on for over one year now and noise pollution day and construction were living in the residential and there been unauthorized construction beyond the of his our for intervention from other society or the working committee were in as i write this letter the activity i request you to kindly look into this matter and deploy appropriate staff to take the necessary i reside at housing society it is a registered housing society and duplex row and in after being reserved for category in it was after appropriate action at cabinet the builder who built the left an unfinished boundary wall incomplete community hall and not any of the outer it as have been as one therefore there is no internal resident of number b in unauthorized encroachment and construction in the common area in between the the activity been going on for over one year now and noise pollution day and construction were living in the residential and there been unauthorized construction beyond the of his our for intervention from other society or the working committee were in as i write this letter the activity i request you to kindly look into this matter and deploy appropriate staff to take the necessary i reside at housing society it is a registered housing society and duplex row and in after being reserved for category in it was after appropriate action at cabinet the builder who built the left an unfinished boundary wall incomplete community hall and not any of the outer it as have been as one therefore there is no internal resident of number b in unauthorized encroachment and construction in the common area in between the the activity been going on for over one year now and noise pollution day and construction were living in the residential and there been unauthorized construction beyond the of his our for intervention from other society or the working committee were in as i write this letter the activity i request you to kindly look into this matter and deploy appropriate staff to take the necessary i reside at housing society it is a registered housing society and duplex row and in after being reserved for category in it was after appropriate action at cabinet the builder who built the left an unfinished boundary wall incomplete community hall and not any of the outer it as have been as one therefore there is no internal resident of number b in unauthorized encroachment and construction in the common area in between the the activity been going on for over one year now and noise pollution day and construction were living in the residential and there been unauthorized construction beyond the of his our for intervention from other society or the working committee were in as i write this letter the activity i request you to kindly look into this matter and deploy appropriate staff to take the necessary i reside at housing society it is a registered housing society and duplex row and in after being reserved for category in it was after appropriate action at cabinet the builder who built the left an unfinished boundary wall incomplete community hall and not any of the outer it as have been as one therefore there is no internal resident of number b in unauthorized encroachment and construction in the common area in between the the activity been going on for over one year now and noise pollution day and construction were living in the residential and there been unauthorized construction beyond the of his our for intervention from other society or the working committee were in as i write this letter the activity i request you to kindly look into this matter and deploy appropriate staff to take the necessary i reside at housing society it is a registered housing society and duplex row and in after being reserved for category in it was after appropriate action at cabinet the builder who built the left an unfinished boundary wall incomplete community hall and not any of the outer it as have been as one therefore there is no internal resident of number b in unauthorized encroachment and construction in the common area in between the the activity been going on for over one year now and noise pollution day and construction were living in the residential and there been unauthorized construction beyond the of his our for intervention from other society or the working committee were in as i write this letter the activity i request you to kindly look into this matter and deploy appropriate staff to take the necessary i reside at housing society it is a registered housing society and duplex row and in after being reserved for category in it was after appropriate action at cabinet the builder who built the left an unfinished boundary wall incomplete community hall and not any of the outer it as have been as one therefore there is no internal resident of number b in unauthorized encroachment and construction in the common area in between the the activity been going on for over one year now and noise pollution day and construction were living in the residential and there been unauthorized construction beyond the of his our for intervention from other society or the working committee were in as i write this letter the activity i request you to kindly look into this matter and deploy appropriate staff to take the necessary i reside at housing society it is a registered housing society and duplex row and in after being reserved for category in it was after appropriate action at cabinet the builder who built the left an unfinished boundary wall incomplete community hall and not any of the outer it as have been as one therefore there is no internal resident of number b in unauthorized encroachment and construction in the common area in between the the activity been going on for over one year now and noise pollution day and construction were living in the residential and there been unauthorized construction beyond the of his our for intervention from other society or the working committee were in as i write this letter the activity i request you to kindly look into this matter and deploy appropriate staff to take the necessary
Electrical,the street light near temple entrance near is not please do the needful to turn it
Garbage,bridge this to be the most bridge this area is never clean
Health,we had dengue patient in our society please send to spray mosquito repellant
Drainage,dear sir there is an open nullah wide passing through our colony which is carrying all of from house hold drainage system and other waste this drainage nullah always also because it is nullah because of falling of debris and leading to obstruction to the flow which the dirty water the open nullah is also a breeding place for apart from the foul smell which is highly there are two swimming and a park besides the drainage nullah which it is difficult to use the pathway from sky villa to which whenever we call do visit and spray the but the foul smell and stinking we are looking for a permanent solution to our problem which people leaving in the our request is to lay of diameter for a stretch of passing through our this is a practice in many
Drainage,ref ticket closed without water pipe is broken illegal hanuman and water is flowing continuously since past many
Health,ref ticket hanuman is he is also public property ie public toilet adjacent to his illegal please relocate him to college
Encroachment,at front of indian oil sit a couple of fish in they may or may not disturb it is exactly the place where there is a cross road signal and everybody needs to wait there for a minute generally and the stinking smell of fish is taking life out of human please give these a better place in opposite side of traffic only those will stop who actually want to buy the population can be to not smell please look into thank
Garbage,lane not being properly please come and check liquor and litter lying all over the lane very horrible condition of once clean lane thanks to
Health,stray have not been removed ricky and his team lied when they came were hidden by and they have been spotted roaming around again
Encroachment,all of ward will take cognizance of high court order to take action on encroachment on
Electrical,need a halogen to cover all area
Garbage,please remove it
Electrical,light not working site engineer said he needs to replace fitting this is more than now please do it on urgent basis
Road,status of road
Garden,inside society campus are break and fall on someone or causing fatality
Road,the road become it become very risky for the to ride since this road leads to around it on daily hence i request the to look into the matter and resolve the issue at the
Road,road been dug for repair but work is not
Encroachment,made on foot
Water Supply,water supply drastically reduced in last few please restore water
Electrical,two led street are not opposite tulsi survey no lane before kindly replace led on thank you
Garden,grown in the road divider grown huge and its are covering the complete signal which is towards its very people cant see signal small accident are kindly do the needful urgently to avoid major
Health,another dengue case in classic road there is huge swamp of water opposite take prompt action
Drainage,dear sir there is an open nullah wide passing through our colony which is carrying all of from house hold drainage system and other waste this drainage nullah always also because it is nullah because of falling of debris and leading to obstruction to the flow which the dirty water the open nullah is also a breeding place for apart from the foul smell which is highly there are two swimming and a park besides the drainage nullah which it is difficult to use the pathway from sky villa to which whenever we call do visit and spray the but the foul smell and stinking we are looking for a permanent solution to our problem which people leaving in the our request is to lay of diameter for a stretch of passing through our this is a practice in many
Health,construction machinery noise at construction site next to the society and working even at night time lot of noise pollution
Electrical,street light band
Electrical,street are not working for last many days in entire lane behind
Road,road is missing from many building good road needs any rocket wasting tax money and killing daily
Electrical,street light is not working for last
Water Supply,pipeline tari ti
Health,no one garbage from are dumping yard
Road,the footpath the portion between road and footpath from statue not in place kokan express chowk is in horrible state observe difficulty for senior also due bad state the approach to are also not
Health,spray for prevention against dengue is as mosquito is last year also case of dengue was in
Road,lane
Road,rada
Road,rada
Road,depot rada
Road,lane rada
Health,sir suddenly garbage are not coming to our after van people they are since is under jurisdiction so they will not pick up the now people living in of surrounding area throwing their garbage on we are living in a high risk health please help
Road,lane rada
Building Permission,subway structure change of use
Building Permission,subway structure change of use
Building Permission,subway structure change of use
Garbage,after several made to is to collect and take just pushing all garbage on street near to my she is not listening to her informed her many of no help
Drainage,chowk near viva in hotel over flow
Road,not a of on road but still on link road near auditorium
Garbage,rohan west
Building Permission,sir i had complaint on regarding construction for which you had notice on regarding that but till today no action been sir i had on regarding that but in that i was been i am questionable answer so i would ask you in what way i could get justice or is it wrong if i complaint for their wrong for which i had you with all proof with my application i once again request you to please give us justice because i have faith in law and order
Health,pollution to be in
Building Permission,structure change of use
Building Permission,sir i had complaint on for illegal construction for which your department had notice but sorry to say i had not got any action their after had been taken i had on regarding that but in that also you didnt gave clarification why no action been by filing on you directly show it as if this way you cant get justice because you directly close the would again request you to please take action because we have hope on justice
Garden,tree felling on road
Building Permission,structure change of use
Garden,branch of tree which is
Encroachment,dear sir this is to inform you that on the road starting from chowk to a chowk near in area there are many and fruit selling are sitting on this portion of street many or selling and are standing and the most portion of the street especially between to these acute by vegetable and fruit are following for the and this road from chowk to a chowk near is a very narrow and do not have a road the vegetable and fruit complete portion of the near and thereby leaving no space for the for walking in this these are keeping other on the the vegetable and fruit are major portion of the road near and thereby leaving only small portion of the street for the moving on this road from both the sides thereby virtual chaos and regular traffic on this portion of the road which become a common feature for this the visiting and also one other private hospital near are facing lot of while entering the while taking serious inside the coming in hospital area due to these the are happening even after there is a established vegetable and fruit selling market as many illegal vegetable and fruit are sitting on and road for selling some of the permanent vegetable and fruit license to sell inside the also come outside the and occupy footpath and road for selling their under the fear that there may not get sold as it is very difficult to enter due to the near the the problem of these is acute and is resulting into regularly small and medium on this portion of the these vegetable and fruit are shouting for selling their outside the hospital thereby the requirement of silent zone near the hospital which is very dangerous for the admitted inside the hospital and even for in this many people park their near middle of the road as complete road side portion and even some portion of the road is by the vegetable due to which there is even no space available for parking of on the road during the festival season even many set up outside the and these for selling various thereby footpath and road due to these it becomes very difficult for to drive and to take a turn from colony road to the state transport face difficulty in driving and taking turn near chowk near colony the vegetable and fruit sitting on footpath and road leave lot of garbage on street side and on footpath which after some time smell and leading to spread of in this area become a mute witness to the problem of encroachment and is not taking any action by regularly visit of the encroachment action van on this portion of the also is unable to understand that selling of and on the road is even unhygienic and unhealthy for the and while the above and i would like to say here that due to these the people who want to park their two coming to the moving traffic people in this area are suffering on regular basis as these are various like difficult to walk traffic traffic speed noise pollution garbage on account of the above and i request the to take following to take permanent and long lasting action and solution to encroachment on this to permanently remove all the illegal on this to arrange for the daily visit of the encroachment van from onwards every day and take strict action against the illegal vegetable to make free a portion of footpath and road by these illegal not to give any permission to set up any kind of outside the and hospital area on street side any time during the make the hospital area as a silent zone and take strict action against the the noise pollution to serve to the permanent and vegetable and fruit inside the for the action by in case they come outside the and sell their goods on the i hope will take a serious note of the above important of and also request the to take a permanent long lasting strict and permanent action on this citizen
Drainage,society commercial building a main road near pump and the main line is chock up repeatedly the drainage chock is a major this needs major civil work and it is on main road as per feedback given by your do the needful on urgent you
Property Tax,property citizen ko hi property do bill aa name
Health,tri
Building Permission,please refer to my me know when the will get the help from local police station for removal of unauthorized chinese restaurant in our duration i need days
Garbage,garbage dump
Drainage,overflow in lane no
Building Permission,illegal religious pole shed on road as well as illegal parking on
Road,there is bad crack in the road at chowk traffic light right after crossing the junction from university towards the highway after passing the green light have to suddenly stop and this can cause
Health,to hot
Garbage,in our colony one of scrap vendor all his scrap on road which unhygienic
Health,pani ahet tari
Road,lots of and rough on is where bridge on side
Road,road
Garbage,all garbage no coming outside our
Garbage,dirty since never please take action
Garbage,not
Electrical,in toilet no light person every time use only bulb please provide tube light in public
Garbage,garbage not collected from house since more than a street cleaner not coming for more than a people will start throwing garbage on street not
Building Permission,area in front of the shree super market at chock is being used illegally for commercial area is a parking area and it should be free of and illegal remove it on regular
Garbage,couple of were yesterday by the leaves and need to
Road,my against of development area to this particular rout is belong to its our but right now the condition is very kindly as soon as thanks
Health,dengue at need to take necessary action
Road,on road worst section near kindly repair as early as accident ratio have increase in the area
Encroachment,ko jane me program hora
Road,road condition is
Electrical,pol light not getting properly in our place so i am if possible shift to then everyone can get light of pol
Property Tax,my name is wrongly it should be on property
Electrical,on to link road the street not working at its all dark near sewage treatment plant
Building Permission,road near junction marvel no peripheral road to connect mall and out to road excluding new road side on road surfacing of road not side margin of road by metal but inside construction work is permitted then why the land for footpath not handed over for of
Encroachment,illegal stall hawker on near chowk footpath stall on footpath apollo clinic garden footpath and road side
Building Permission,illegal in front margin by row converted to like saloon full encroachment by hot chips fruit juice stall near market learning kids hotel in in garden bombay new commercial row house near bank front margin by plant sky station by vertical encroachment in front margin is at chowk by hotel fresh mart hotel and illegal room extension in of regency near front wall side in margin by semi plant to be for all the row converted to commercial as
Drainage,hello sir i am from is overflow problem from last complain so many times but no any solution from k aa basic they need air pressure machine but they dont have that told me to complain to ur head i register complain this token i is still same request you to resolve this problem as soon as all family suffering many of
Road,stop line
Property Tax,name is incorrect in the property tax property tax number is o f it should have been please correct it
Health,air pollution at every day something is being burnt lot of smoke behind resulting in lot of air its difficult to breath especially in the evening around college
Encroachment,there is illegal on satara road society road this serving tea breakfast during day time and anda during evening already lots of people are sitting on and smoking and drinking please do the
Road,apartment
Garden,hello i would like to inform you that there are many full grown in the building enclave off road which pose serious threat to our society the latitude which in turn its backside compound with our building in of on the ground during a light or heavy storm or even we have a play ground in the same these have neither been any time nor been properly by that kindly look into this before any adverse incident i am two in this appreciate a quick ticket was abruptly not sure from had the site on th please do the
Electrical,street are not functional
Electrical,street light band
Property Tax,bill yet
Drainage,drainage chamber chamber repair no repair as early as
Road,these are the road picture of j k park here need of road of of corporation there would be the chance of accident kindly please look at the serious problem of
Garbage,the road from railway gate till railway gate which beside the rail line behind like mantra township and township become garbage dumping place from all just behind township is it can compete with the place in the for last few days i have it become the permanent place for dogs as train by the of dirt getting spread at this moment this can easily be considered as one of the most ugly looking filthy and location in please do
Garbage,please clear garbage
Electrical,street plot no society my house not functional
Property Tax,name on my property bill is came to know about in wrote many neither any response nor any action
Health,dear sir we have residential project the building as site at been under the civil for the same are by regional development letter no as per building drawing from the it is a matter of deep concern importance that a chocolate factory is working near to our residential project and is polluting these and are becoming main cause of making it for human being to live in an environment of major part of their production is air which are added in the atmosphere from candy factory source that change the composition of atmosphere and affect the biotic along with emission of pollutant plant and machinery at place is also causing lot of noise pollution causing to disturb the ambient noise the ambient air quality which are prerequisite for effective management of ambient air quality and to reduce the effects of air
Building Permission,dear this is to bring to your notice that wall compound not been of our society by the builder address is off biweekly we have some uninvited like russell viper and common krait entering in the society near play area and because of this are at attach is one of the of russell viper caught and from the can you please look into this concern and force builder to get the wall compound as quickly as note builder had half of the wall compound and we are really thankful for z wing
Road,road tri yava
Traffic,sir there is tremendous traffic at chowk sus morning from evening to there are no traffic the situation is worst as the traffic big trucks frequently use that my suggestion is there to be traffic police person at the chowk to manage the this can resolve the thank you
Traffic,sir there is tremendous traffic at chowk in morning from evening to there are no traffic the situation is worst as the traffic big trucks frequently use that my suggestion is there to be traffic police person at the chowk to manage the this can resolve the thank you
Drainage,line chock up
Encroachment,illegal fish both sides of visit after
Drainage,toilet line clean
Garbage,please pick up garbage and see that there is no further dumping to prevent health hazard and
Electrical,name mob no
Electrical,name more mob no
Drainage,clean
Electrical,name mob no
Garden,touch to the m s e
Building Permission,my client prakash through poa prakash property situated house taluka district notice of the act notice the court status quo order on we have
Electrical,name mob no
Electrical,name mob no
Garden,complete tree cutting
Electrical,mob no
Road,while walking on almost all the the tree make it difficult to walk for the and senior trimming of the on regular is very much necessary for smooth walking on of the have and should be in one level for easy alternatively the same be brought at par with road level and parking of be near the compound so that can walk smoothly on the even with the people are to walk on the for the above detailed please consider the
Health,fumigation for mosquito
Water Supply,water is flowing in
Electrical,street band
Garbage,somebody kept chicken garbage near foot path which very around area
Traffic,please install overhead crossing bridge for at temple chowk and lake lack of infrastructure causing lethal please do not give of funds as excuse as there have been more than by
Electrical,street light not
Garbage,garbage dumping continued and getting worse every day
Drainage,dear sir my name is a resident of zircon society this mail is regarding foul smell in the society area due to drainage problem in adjacent open the problem is that the land adjacent to our society zircon society and there is an open drainage due to which our whole society is facing problem of foul smell which during the evening it is a severe problem as the health of in our society and is getting affected to address this problem i suppose that your team should visit our society and the area which is this foul smell to understand the root cause of if there is some drainage problem due to choking or illegal dumping of waste from the it should be as a responsible environmental officer you have to look into this issue and implement stern to avoid these of i look forward to seeing a prompt action from yours sincerely
Electrical,high mask light is not working for last month out of only
Drainage,drainage chock up
Garden,the of these are extending in our and natural light in to our we request permission to cut the
Garbage,dear sir my name is a resident of zircon society i am writing this letter to complain you about litter problem in our the problem is that the road which is adjacent to baker factory to is heavily people nearby and the restaurant daily throw huge garbage on the road itself which it very difficult for the nearby to walk or go through the the problem is very severe as the area very foul due to which the health of nearby is being affected due to even though there are on the road of not to throw any kind of garbage on the road there is not stopping of nuisance people who knowingly or unknowingly throw their garbage on the to address this problem i suppose that the people should not be to throw the rubbish on the road and will do should be with a municipal corporation should not allow accumulation of waste on the road for which proper should be as a responsible environmental officer you have to look into this issue and implement stern to avoid these of i look forward to seeing a prompt action from yours sincerely
Encroachment,there is illegal pan on the footpath of mall days take
Drainage,drainage sewage line is not provided in lane survey behind d mart to the in lane
Road,road is in very much bad so many
Drainage,this is kindly to inform you that the basement parking of twin tower building is full of drainage the of the building are at high risk of life due to bad smell and the breeding of kindly take necessary action against the
Electrical,street in lane number three survey number d mart near hostel though are not functional since front of
Stray Dogs,i am raising issue of environmental pollution due to and associated health to these are marked to environment police for their respective action location of dog fouling is on road next to survey no unless otherwise to maintain right to privacy address and other personal are not and should not and for safety from zoonosis industry survey no
Road,we want an speed breaker on the its internal few use the some people from nearby slum area drive in high few days before one bike had on a flat owner to avoid this type of request to install or speed so people will drive in slow
Garbage,there is a foul smell of dead animal near school need to be
Health,need at my
Water Supply,we have a very low pressure of drinking water supply kindly rectify the issue at the
Road,the road have many at start and need
Electrical,street light not working at the start of the road
Health,one dengue case and mosquito is too much
Health,dear sir good this is with to animal birth control at zone and it come to my notice after at the municipal pound on our regular supervisory that one mr and one mr have taken up the tender under the name of animal welfare association run by a renu the duo to be also allegedly working under the second under and were also looking after the at the cantonment under apparently they also work or worked at in i am not sure where else they are under different mr and mr mr who is a himself as a call mr and him also use the prefix of on their joint the vet whose name in the middle is from and the number shown under the name to mr shown in true the joint prescription is proof that the duo are working they are not registered hence are not permitted to give the signature on the prescription is allegedly mr they call themselves on the their prescription the telephone under shaikh to as told by true caller number is also registered under i have done a search for shaikh reg no and could not find any such person though the vet association confirmed him to be from but they have no contact for i have them to try and contact the clinic reg no is a shop act for a pet shop the is showing up under various pet shop and allied in i received this from the registrar the above registration to shaikh and valid up to his permanent address as per our record is however we dont have working address and contact we will come to know when he will renew registration in the month of it like these two may have allegedly approach and use their and fill in through them and pay for the tender and then give a commission to the or have some arrangement with this we know for sure with animal welfare association as per mrs renu rais admission during her phone call with me however lad of this in his second phone call saying he employed mr we have also found that the duo and their from zone and left the pound during leaving no one to attend to the dogs left loose unattended and went in to leave food for them in the pound and have checked the dogs they were told by arjun of zone that the van driven by had the dogs confirmed this to me again when i out of those two had their surgical wounds days ago when i was at the pound there was only one dog and no one could tell me where the other two have yesterday they again moving freely in the right now only staff for both zone and mr who is the driver cum catcher was mr he been given charge of both zone and to me that these are all which me to the conclusion that there is an nexus with and we have had no from the duo since the last the same duo were the program which we had to shut down due to by the vet since then the left the of the and work is zone people for signatory mr operating vet no whatsoever with the team to make better for the we put date and team to supervise him since he was comfortable with that however they only check the release and pick up of the in place for of no post done even though as made mandatory by operation unclean and needles and dogs in one kennel no proper documentation zone no employed this month zone animal welfare association signatory renu under and operating vet this is clearly a subcontract which is not permitted under i have attached my phone call with which is self explanatory and that the duo to use her organization as a cover and made her sign for the as per mrs the duo also allegedly filled in the tender with their own funds and that after the money came into her account they would take out their and give her the neither mr or mr are employed by renu hence this is a clear case of misappropriation by by her to help get two unknown unrecognized to perform in call mrs renu clearly the same in her phone call which i she also goes on to say that she had a problem with the duo quantity of food and at yet she went ahead and support their illegal activity in zone no employed full time as by been doing post care in the pound for zone dogs left in poor condition post surgery by since september also is aware that on monday a new catching team will be coming from to work for zone how does a zone know whats happening in zone to common factor of mr and mr zone signatory lad under and operating vet vet to leave and work stopped due to inefficiency lad he employed full time and does not know i have for the salary lad first did not show any recognition of mr or mr when i first him this morning and he for as he was apparently treating a horse after which he in his second phone call to have employed mr he also to tell me gone on leave and the work is stopped due to that whereas was to leave for inefficiency in so its very obvious that lad no idea what the group is doing in recording zone no employed full time zone also had an issue with the doctor employed one who made a mess of and was removed after we brought the to the situation is if the of the contract are who is the for before i lad if he checked on before him he skirted the question as you can hear in the recording and said he would answer if i sent him a written signatory under and operating vet no should be permitted to lend out their name and sign and if they are sub leasing the tender to who are selected have to operate the themselves and have to be accountable for the dogs they operate they also have to with the this not with the as per is breach of and completely
Garbage,also it was informed to you by complaint on about the garbage and all dirt collected and on backside of next to the huge open duct which is always filled with dirty water and causing risk to life by becoming a mosquito breeding spot and unhygienic and spreading viral life and the garbage in huge garbage is kept there since last purposefully to cause inconvenience to kids working here nearby it is been that without the problem in complaint no on without the issue for garbage filled with dirt the complaint was closed is not with request or helping and directly the complaint and supporting the developer caretaker in other by some sort of wrong to cause harm to a explanation be provided for such behaviour towards why have the issue for dirt garbage by caretaker for also several junior and senior officer and from various department had in last period but none of them bout the dirty garbage bag and take action against the caretaker of developer for causing inconvenience to is commissioner related to are helpless in helping for such severe issue or helpless in developer is under any pressure if can imagine how inconvenience it must have to since this dirty garbage were in open getting wet and mosquito breeding on it since such long and in helpless manner and not taking any action against caretaker in such issue in restricted time
Garbage,tree cutting on road
Electrical,of street on road laundry are not also on light pole on one of them need to be tree below street light on road adjacent to kaka need to be as they are light
Drainage,drainage choke up and overflowing
Drainage,drainage overflowing since last month
Garbage,remove all the garbage which is on the road front of from near by area are through all the garbage on that road and no one can pickup that need to align someone for at least to people who can through the garbage on road and doing road
Electrical,street band
Garbage,individual garbage collector for dear sir i am to a location vivek near road this is a society of small the individual garbage collector every month knock our to ask for they charge minimum per house and plus additional when we to pay they are not up our garbage are you aware of such practice i am not willing to even complain a local contractor because who if he too is a part of i pay my willfully and dutifully why am i being by these people and why do i have to bend for their extortion in this sir are you aware of this practice that is all i would like to
Electrical,street light
Drainage,overflowing
Garden,se tree aa
Health,ahet tri
Road,repair of
Health,a case of dengue was last still no person for any kind of please do the
Garden,at society plot road near society kindly like to inform that the tress in the road side have grown up the of it have in our its leaves call now then crest damages to our as its growing day by day we are not getting any sunlight in our house due to which health problem been increasing in our request to cut trim down the which in our house as early as possible
Health,need for dengue mosquito as i am resident of royale and suffering reduce count of which the dengue if not on please do the
Health,foot path is full of garbage not a single day sweeping is taking place location is road in front of paradise
Road,repair of removed paver for water line not done
Road,road tri
Health,society machar tri
Road,broken be and debris to be removed
Garbage,a dead is lying down from many
Health,in our society for also one member is suffering from dengue hence kindly do the needful
Water Supply,in our lane there are small room and few of them use to draw water from the water as a result we are not getting water in our society whenever the are make a surprise check visit during water supply times to do not mention our as the tenement are typically of nature
Drainage,drainage line overflow drainage line drainage line proper pressure overflow is in now please see attached photo
Encroachment,improperly
Health,lot of in no of in society
Garden,on link road are drying they need watering thrice a week
Drainage,chamber cover been broken in chowk please do repair work as early as
Road,spot hotel bypass road near columbia hospital is by hotel but not fixed by cement is causing people to slip and wife also been a hotel several times but they are giving false please look into the i reside in empire behind the columbia hospital
Garbage,dry not collected since last one month
Road,please fill the road with cement
Building Permission,this is inform you that an illegal construction is in progress at following location plot lane we kindly request you take necessary kindly find illegal construction
Building Permission,this is inform you that an illegal construction is in progress at following location plot lane we kindly request you take necessary
Garbage,are burning
Health,we are suffering heavy problem of usually comes in the evening and every person in our area are very nuisance request you to support us with remedial action
Property Tax,in surname in i bought above property in from i have all the legal except it is because in record previous owner name is mistakenly written as instead of this is manual error and after doing multiple follow up it is not being i need to make this property against my name but could not able to as employee have to correct previous owner name first but they are not doing i have given the application before and inward number is date name is not yet corrected and neither my name is being please look into it at
Stray Dogs,there are big dogs and two female dogs about to they are now chasing at about was no stray dog in these dogs without operation are by in our pick them and drop them from where you brought
Electrical,only one street light is not working so lot of darkness
Building Permission,from last but problem not yet from corporation
Building Permission,from last but yet done the same
Stray Dogs,minimum dogs around and it is dangerous when bite from dogs noise please caught and shift to dogs unit center
Water Supply,illegal stall on water supply
Electrical,complaint done before also in last week still not please look into this matter its urgent as its not working from and also urgent because completely no electricity on road
Electrical,street near university still not on at it is quite
Electrical,street need quite dark on road circle still not
Health,require for mosquito nuisance in the building and area mosquito breeding due to foliage and construction beside the society
Stray Dogs,stray dogs causing nuisance behind and on the streets continuous barking at night and causing sleep
Traffic,double parking in front on this is in fact no parking besides there is parking available but building owner is charging for this this
